check_id,category,check_item,metric_or_method,pass_threshold,required_action_if_fail,run_value,pass_fail,reviewer_note
E01,候補数,mode指定どおりの最終候補数か,"CSVのcandidate_id件数",quick=12;standard=24;wide=36,"欠損原因を記録し、出力分割または再生成規則を調整",,,
E02,出力時間,実用上許容できる時間か,"開始からCSV完了までの秒数","PBLで仮にstandard 180秒以内。実測後に更新","指示長・候補数・出力列を見直す",,,
E03,構文,CSVを機械的に読み込めるか,"UTF-8 CSV parserでエラー確認","エラー0","引用符・セル内改行・列順を修正",,,
E04,列完全性,23必須列が揃うか,"header照合","欠損列0","Gem Instructionsの出力schemaを強化",,,
E05,距離被覆,near/adjacent/far/frontierが所定数か,"distance_bucket集計","balanced枝=3/3/4/2","不足bucketから再生成させる",,,
E06,遠距離質,farにtechnical bridgeがあるか,"far候補を人手レビュー","farの100%に因果説明","空想候補を差替え、前提を明示",,,
E07,産業分散,farが同一大分類へ偏っていないか,"farのunique JSIC数","原則4","別アンカーから再生成",,,
E08,横断領域,frontierにoverlayとJSICが併記されるか,"frontier_overlay_idとanchor確認","frontierの100%","overlay単独の抽象候補を具体Situationへ戻す",,,
E09,Actor被覆,standardでS1〜S5が被覆されるか,"primary_actor_function集計","各3件以上を目標;1群8件以下","不足群のSituation適合性を確認し再生成",,,
E10,軸依存,ActorがSituation固有か,"候補のorganization_archetypeを人手確認","汎用語だけの候補0","現場固有組織へ具体化",,,
E11,階層分離,Company/Organization/Roleが混ざらないか,"固有名詞と役職語を検査","根拠なしCompany 0;Role全展開0","Organization archetypeへ戻す",,,
E12,Lens被覆,4 familyが被覆されるか,"lens_idからfamily集計","standardで各4件以上","不足familyから再生成",,,
E13,Lens多様性,同じLensへ集中していないか,"unique lensと最大頻度","standardで8 Lens以上;各4件以下","Tensionから再選択",,,
E14,意味表現,From→ToがActorに結びつくか,"semantic_value_hypothesis人手レビュー","候補の90%以上","効率・安全だけの表現を関係・判断変化へ書換え",,,
E15,行動変化,導入後の行動が具体的か,"behavior_changeの主語・動詞確認","候補の90%以上","誰がいつ何をするか追加",,,
E16,技術接続,technical bridgeがCapabilityに忠実か,"Capability Cardとの照合","重大な捏造0","FACT/ASSUMPTIONを修正しReq③ unknownsへ送る",,,
E17,意外性,wildcard枠があるか,"wildcard=true集計","standardで4件以上;far>=2;frontier>=1","反転・制約・移行局面から再生成",,,
E18,既存用途,既存用途の言い換えが候補数を占有しないか,"existing usesと類似確認","新規候補内0を目標","候補数外へ移し不足分を補充",,,
E19,重複,構造重複が少ないか,"cluster_keyと人手意味比較","完全重複0;近似重複10%以下","統合して元IDを保存し補充",,,
E20,軸間重複,SituationとLensが同義反復になっていないか,"situation_detailとmeaning shift比較","同義反復10%以下","Situationを現場化しLensを意味変化へ戻す",,,
E21,証拠境界,FACT/INFERENCE/ASSUMPTIONが区別されるか,"evidence_status/fact_basis/assumptions確認","空欄0;事例捏造0","根拠を分離し不明はUNKNOWN化",,,
E22,説明可能性,候補の因果鎖が追えるか,"Situation→Tension→Bridge→Meaning→Behaviorレビュー","候補の85%以上が一読で追跡可能","不足要素を書き直す",,,
E23,Req③接続,unknowns_for_req3が評価可能な問いか,"技術・規制・顧客・実証の確認","候補の90%以上に具体unknown","一般的な『要検討』を検証可能な問いへ変更",,,
E24,再現性,同一入力3回で構造が安定するか,"cluster_key集合のJaccardとbucket分布","Jaccard 0.35以上かつ全回quota達成を暫定基準","固定seed不可の場合はアンカー選択規則を詳細化",,,
E25,多様性,同一入力3回で新規クラスタも得られるか,"3回のunionと各run差分","unionが単回の1.25倍以上を暫定基準","wideまたはmust_includeを使い探索を広げる",,,
E26,人手負荷,1runをレビュー可能か,"2名のレビュー時間","standard 30分以内を暫定基準","列を削らず、レビューUI・フィルタを改善",,,
