order,column_name,data_type,required_at_handoff,applies_to,source,description,why_req3_needs_it,example
1,run_id,string,required,all,Run Manifest,Req2の1回の実行を識別するID,異なる方式・再実行の候補を混同しない,R-DEMO-FULL19-OTB094
2,mode,enum,required,all,Run Manifest,FULL19／COVERAGE12／MIXED19,生成方式による被覆差を評価時に解釈する,FULL19
3,patent_id,string,required,all,Run Manifest / Input,対象特許または技術シーズのID,候補を元技術へ追跡する,OTB094
4,batch_id,string,required,all,Run Manifest,Situationまたはfrontier branchの実行単位,欠落検査・部分再実行・産業別比較に使う,E
5,candidate_id,string,required,all,Req2 Candidate,Run内で候補を識別するID,Req3の評価結果を元候補へ結び付ける,OTB094-E-S2-C1
6,stakeholder_id,enum,required,all,Req2 Candidate,固定Stakeholder GroupのID（S1〜S5）,主体別の評価・被覆確認に使う,S2
7,stakeholder_name,string,required,all,Req2 Candidate,固定Stakeholder Group名,人が候補を理解しやすくする,導入・評価・意思決定主体
8,situation_id,enum,required,all,Req2 Candidate,日本標準産業分類ベースのSituation ID（A〜S）,産業別の評価・被覆確認に使う,E
9,situation_name,string,required,all,Req2 Candidate,Situation名,候補の置かれた産業を示す,製造業
10,situation_detail,string,recommended,FULL19 / COVERAGE12; MIXED19では補完推奨,Batch output,具体的な現場・業務・状態,同じ産業内の候補差を判断できるようにする,出荷前品質ゲートで個体照合する時
11,distance,enum,required,all,Run Manifest / Candidate,既存用途からの構造的距離（near／adjacent／far／frontier）,距離は品質点ではないことを保ったまま分析軸に使う,near
12,overlay_id,string,conditional,COVERAGE12 frontier only,Req2 Candidate,横断overlayのID。非該当は空欄,frontier候補の生成条件を再現する,X03
13,overlay_name,string,conditional,COVERAGE12 frontier only,Req2 Candidate,横断overlay名。非該当は空欄,frontier枝の意味を説明する,循環・再製造
14,coverage_rotation,integer,conditional,MIXED19 only,Req2 Candidate,決定論的tuple割当のrotation（0〜4）,Mixed19の被覆と再現性を検査する,3
15,context_id,enum,required,all,Req2 Candidate,固定Context ID（C1〜C6）,意味文脈別の評価・被覆確認に使う,C1
16,context_name,string,required,all,Req2 Candidate,固定Context名,意味的価値の観点を人に示す,証拠・信頼
17,organization_archetype,string,required,all,LLM inference,Situation内で想定される組織類型,抽象Stakeholderを評価可能な主体へ具体化する,電子機器メーカーの品質保証部門
18,role,string,required,all,LLM inference,技術に関与する具体的役割,誰が判断・利用・影響を受けるかを明確にする,受入品質保証責任者
19,interpretation,string,required,all,LLM hypothesis,Stakeholder × Situation × Contextで特許が持つ意味・価値の仮説,Req3が評価する中心対象,個体自身が示す受入証拠
20,technical_bridge,string,required,all,FACT + inference,元特許能力が新Situationで機能し得る接続説明,単なる連想と技術に基づく転用仮説を区別する,電磁特性を登録値と比較して個体照合する
21,behavior_change,string,required,all,LLM hypothesis,導入前後でStakeholderの判断・行動・関係がどう変わるか,用途名ではなく意味的価値になっているかを見る,事後調査から受入時照合へ変わる
22,assumption,string,required,all,LLM assumption,成立に必要だが入力特許で未確認の条件,削除せず、Req3で検証対象として扱う,量産速度と再測定安定性を満たす
23,evidence_status,enum,required,all,Req2 Candidate,technical_bridgeの根拠状態（FACT／INFERENCE／ASSUMPTION）,事実と推論を混同しない。候補全体の確度ではない,INFERENCE
24,duplicate_note,string,required,all,LLM inference,類似候補IDと残すべき差。類似なしはnone,Req2では削除せずReq3の重複処理へ渡す,none
