candidate_id,situation_anchor_id,situation_anchor_name,situation_detail,distance_bucket,frontier_overlay_id,primary_actor_function,organization_archetype,counterparty_or_affected_actor,meaning_lens_id,meaning_lens_name,tension_or_trigger,technical_bridge,reinterpretation,semantic_value_hypothesis,behavior_change,wildcard,evidence_status,fact_basis,assumptions,unknowns_for_req3,cluster_key,merged_candidate_ids
C001,E,製造業,"電子機器メーカーの出荷前品質ゲートで、同一型番品の個体照合を行う時",near,,S2,電子機器メーカーの品質保証部門,製造委託先,L03,保証・確からしさ,"外観検査やシリアル照合では委託先をまたぐ真正性の説明が弱い","製造ばらつき由来の電磁特性を事前登録値と比較し、追加識別回路なしで個体を照合する","真贋判定装置ではなく、製造委託関係を継続的に証拠化する品質境界","From: 委託先の申告と事後検査 → To: 個体自身が示す受入証拠","品質保証部門が疑義発生後の調査だけでなく受入時の個体照合を行う",false,INFERENCE,"OTB公式に電磁特性による真贋・個体識別と追加回路不要が記載","量産工程で必要速度と再測定安定性を満たす","測定時間;環境変動;DB運用;委託契約","出荷受入照合|S2|自己証明的保証|受入時照合",
C002,I,"卸売業，小売業","中古電子機器プラットフォームが出品受付・返品・再販の各引渡し時に同一個体を確認する時",near,,S4,中古電子機器流通プラットフォーム,出品事業者と法人買い手,L01,来歴・真正性,"シリアル番号は転記でき、複数回の所有移転で同一個体の来歴が切れる","同一型番でも異なる電磁特性を用いて登録個体と照合する","真贋判定を、一回の検品から循環流通を通じた個体の来歴基盤へ読み替える","From: 取引ごとに切れる商品ID → To: 所有移転を越えて継続する物理的来歴","プラットフォームが受付・返却・再販時の照合を同じ個体履歴へ紐づける",false,INFERENCE,"OTB公式の既存活用イメージにECサイト・中古品取扱い業者がある","測定値が経年使用後も識別に十分安定する","経年変化;プライバシー;登録責任;既存用途との差分","再流通個体履歴|S4|検証可能な来歴|引渡し時照合",
C003,K,"不動産業，物品賃貸業","法人向けIT機器リースで返却・再貸与・残価査定を行う時",near,,S4,法人機器リース事業者,借り手企業と再販先,L09,資源循環・スチュワードシップ,"返却物と契約個体の一致、修理・部品交換後の同一性が複数帳票に分散する","機器固有の電磁特性を契約時と返却時に照合できる可能性がある","識別技術を、所有しない利用関係の保全責任をつなぐ資産パスポートへ変える","From: 契約番号中心の返却管理 → To: 現物に結びつく循環利用責任","リース事業者が返却時に個体照合し、再利用判断と履歴管理を連携する",false,ASSUMPTION,"OTB公式に電子機器の個体識別が記載","修理・部品交換や経年で指紋がどの程度変化するか未確認","経年耐性;部分交換;残価との相関;契約法務","リース返却|S4|循環利用責任|個体照合と再利用判断",
C004,H,"運輸業，郵便業","鉄道車両の電子制御機器を基地間・保守会社間で引き渡す時",adjacent,,S3,鉄道車両保守事業者,車両事業者と部品修理会社,L07,協調・相互運用,"部品の持出し、修理、戻しで現物と履歴の対応確認が人手帳票に依存する","コネクタから機器固有の電磁特性を測定し、引渡し時に同一個体か照合する","部品IDを、会社間の引渡し状態を共有する調整媒体へ読み替える","From: 各社で分断された修理票 → To: 現物が接点になる共有保守状態","各社が引渡し時に同じ個体照合結果を参照し、責任分界を更新する",false,ASSUMPTION,"OTB公式に汎用コネクタ等から電子機器を個体識別可能と記載","対象制御機器を安全に測定でき、認証済み保守工程へ組み込める","鉄道認証;測定非破壊性;DB権限;契約責任","鉄道MRO引渡し|S3|共有保守状態|引渡し照合",
C005,P,"医療，福祉","医療機関の中央管理部門が再使用電子医療機器を滅菌・点検後に病棟へ払い出す時",adjacent,,S3,医療機器管理部門,病棟と外部保守会社,L03,保証・確からしさ,"同型機器が多数あり、点検済み個体と現物の対応を払い出し時に確かめにくい","電子医療機器の電磁特性を非追加回路で照合できる可能性がある","真贋を、ケア現場へ戻す前の整備状態保証へ読み替える","From: ラベルと記憶への依存 → To: 払い出し時に個体が示す点検連結証拠","管理部門が点検履歴と現物照合を払い出し手順へ組み込む",false,ASSUMPTION,"OTB公式に電子機器の電磁特性照合が記載","滅菌・清掃・校正が指紋と医療安全へ影響しない","医療機器規制;滅菌耐性;測定装置;誤判定責任","医療機器払い出し|S3|点検連結保証|履歴と現物照合",
C006,J,"金融業，保険業","産業機器保険で事故後に申告機器と契約機器の同一性を確認する時",adjacent,,S5,産業機器保険者,保険契約企業と損害鑑定会社,L10,正当性・説明責任,"高額機器の入替えや部品交換があると事故対象の同一性説明が難しい","契約時に登録した機器固有の電磁特性と事故後対象を比較する","機器認証を、不正検知だけでなく公平な損害説明を支える契約証拠へ変える","From: 書類と申告の対立 → To: 当事者が共有できる物理的説明根拠","保険者と契約者が契約時・事故時の照合手順を共有する",false,ASSUMPTION,"OTB公式に個体識別と事前DB登録が記載","事故や故障後も測定可能で、証拠として法的に扱える","故障時測定;証拠能力;同意;誤判定;保険商品性","保険事故照合|S5|説明可能な契約証拠|共同照合",
C007,B,漁業,"養殖事業者と認証機関が、水質・給餌センサーを交換した後も記録の発生機器を監査する時",far,,S5,水産認証・監査機関,養殖事業者と水産物買い手,L10,正当性・説明責任,"環境記録が正規機器から得られたか、センサー交換をまたいで説明しにくい","コネクタを持つ計測機器を電磁特性で個体照合し、ログの機器来歴へ結びつける可能性がある","真贋判定を、魚ではなく生産環境データの出所を担保する監査基盤へ読み替える","From: 提出ログへの信用 → To: 測定機器の個体来歴を伴う生産証拠","認証機関がログ監査時に使用機器の登録・交換履歴も確認する",true,ASSUMPTION,"OTB公式にUSB・LAN等を備える電子機器の個体識別が記載","水産現場のセンサーに測定可能な端子があり、海水環境後も識別できる","耐環境性;センサー端子;ログ連結;認証基準;費用","養殖記録監査|S5|機器来歴付き生産証拠|ログと個体照合",
C008,O,"教育，学習支援業","大学の共用実験施設で高価な測定機器を研究室間に貸し出し、返却する時",far,,S2,大学共用研究設備センター,研究室と保守事業者,L04,判断の分散・自律性,"機器の同一性と利用履歴確認が管理担当者の知識やラベルに依存する","機器固有の電磁特性で返却個体を照合できる可能性がある","認証技術を、専門管理者だけが持つ設備記憶を利用者にも分散する仕組みへ変える","From: 管理担当者が覚える設備履歴 → To: 利用者が確認できる個体連結履歴","研究者が貸出・返却時に個体照合し、異常をその場で報告する",false,ASSUMPTION,"OTB公式に電子機器の個体識別が記載","対象測定機器を通常運用を妨げず測定できる","測定治具;研究データとの分離;利用規程;運用負荷","共用設備貸出|S2|分散された設備判断|利用者照合",
C009,D,建設業,"複数の専門工事会社が仮設制御盤や計測器を現場内で引き継ぐ時",far,,S1,仮設設備レンタル・統合事業者,元請と専門工事会社,L07,協調・相互運用,"外観が同じ仮設機器の所有・点検状態・返却責任が会社間で混線する","機器の電磁特性を個体IDとして引渡し記録へ結びつける可能性がある","真贋を、短期編成チームの責任分界を保つ共有接点へ変える","From: 会社ごとの持出し票 → To: 現物を中心に同期する引継ぎ状態","貸出・設置・撤去の各時点で関係会社が同一個体を確認する",true,ASSUMPTION,"OTB公式に電子機器の個体識別が記載","粉塵・湿気・電源状態の異なる現場で測定できる","現場耐性;測定安全;複数社DB;責任契約","仮設機器引継ぎ|S1|同期する責任分界|多社照合",
C010,N,"生活関連サービス業，娯楽業","工芸作品・舞台装置・体験設備が制作主体から運営主体へ渡り、補修後に再公開される時",far,,S4,文化施設・体験運営事業者,制作工房と鑑賞者,L12,アイデンティティ・地域・継承,"一点物の制作来歴や補修履歴が証明書から切り離されやすい","対象物または付随電子部に安定した電磁特性を取得できれば個体来歴へ接続できる","電子機器の真贋を、作品が技能・場所・補修の記憶を持つ仕組みへ反転する","From: 別紙証明書に載る来歴 → To: 作品と不可分な継承記憶","運営者が受入れ・補修・再公開時に個体照合し、制作・補修履歴を更新する",true,ASSUMPTION,"PBL議事録に電磁指紋と工芸・地域製造の議論があるがOTB公式ページの対象は電子機器","非電子作品から直接測れるか、付随部材が必要か不明","測定対象;作品保全;権利;鑑賞価値;真正性基準","文化資産引継ぎ|S4|作品に宿る継承記憶|公開時履歴更新",
