anchor_id,anchor_type,name_ja,status,definition_or_use,selection_rule,source_basis,source_url
A,JSIC_2023,"農業，林業",official_anchor,"農業・林業に属する活動を探索する産業アンカー。詳細業種は特許能力に応じてAIが具体化する。","近接度を事前に固定せず、対象特許ごとにnear/adjacent/farのいずれかを判定する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
B,JSIC_2023,漁業,official_anchor,"漁業に属する活動を探索する産業アンカー。遠距離探索で意図的に候補化し得る。","特許から遠く見えても、構造類似・検証可能な橋渡しがあれば除外しない。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
C,JSIC_2023,"鉱業，採石業，砂利採取業",official_anchor,"資源採取・採石等の過酷環境や現場活動を探索する産業アンカー。","特許能力の物理条件と現場制約の対応を明示する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
D,JSIC_2023,建設業,official_anchor,"建築・土木・設備工事などを探索する産業アンカー。","元請・専門工事・資材・発注者など、状況依存の主体を後段で生成する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
E,JSIC_2023,製造業,official_anchor,"製造活動を探索する産業アンカー。既存用途に近くなりやすいため細分化しすぎない。","既存用途の言い換えだけで候補枠を占有しない。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
F,JSIC_2023,"電気・ガス・熱供給・水道業",official_anchor,"エネルギー・ユーティリティ供給と基盤運用を探索する産業アンカー。","安全・継続性・規制・保全の主体を条件生成する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
G,JSIC_2023,情報通信業,official_anchor,"通信・情報サービス・メディア等を探索する産業アンカー。","物理技術の場合も、情報の信頼・権限・可視化への変換可能性を検討する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
H,JSIC_2023,"運輸業，郵便業",official_anchor,"人・物の輸送、保管、郵便等を探索する産業アンカー。","移動中・引渡し・追跡・保全などの業務状態を具体化する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
I,JSIC_2023,"卸売業，小売業",official_anchor,"流通・販売・再販・中古取引等を探索する産業アンカー。","売り手・買い手だけでなく、真贋、返品、再流通、プラットフォーム主体を生成する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
J,JSIC_2023,"金融業，保険業",official_anchor,"融資・決済・保険・リスク引受等を探索する産業アンカー。","技術が証拠・リスク情報・契約状態をどう変えるかを検討する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
K,JSIC_2023,"不動産業，物品賃貸業",official_anchor,"不動産取引・管理・リース・レンタル等を探索する産業アンカー。","所有と利用の分離、残存価値、返却、保守責任を具体化する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
L,JSIC_2023,"学術研究，専門・技術サービス業",official_anchor,"研究、試験、設計、専門サービス等を探索する産業アンカー。","知識・測定・証明・判断支援の価値を具体化する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
M,JSIC_2023,"宿泊業，飲食サービス業",official_anchor,"宿泊・飲食の事業現場を探索する産業アンカー。","衛生、繁忙、引継ぎ、体験品質、設備保全の状況を具体化する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
N,JSIC_2023,"生活関連サービス業，娯楽業",official_anchor,"生活サービス・娯楽・文化体験等を探索する産業アンカー。","BtoCの表層用途ではなく、提供組織・運営者・権利者のBtoB関係を明示する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
O,JSIC_2023,"教育，学習支援業",official_anchor,"学校・研修・学習支援等を探索する産業アンカー。","学習者だけでなく、設置者、教員、認証者、教材・設備提供者を条件生成する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
P,JSIC_2023,"医療，福祉",official_anchor,"医療・介護・福祉を探索する産業アンカー。","患者だけでなく、医療機関、職種、管理者、規制・認証主体を区別する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
Q,JSIC_2023,複合サービス事業,official_anchor,"複数の事業を一体提供する協同組合・郵便局等の活動を探索する産業アンカー。","地域ネットワークや共同利用の構造に着目する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
R,JSIC_2023,"サービス業（他に分類されないもの）",official_anchor,"廃棄物処理、整備、職業紹介、警備など他に分類されないサービスを探索するアンカー。","詳細業種を必ず記述し、この大分類名のまま候補を出さない。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
S,JSIC_2023,"公務（他に分類されるものを除く）",official_anchor,"国・自治体等の行政活動を探索する産業アンカー。","調達者、運用部門、監督主体、市民・地域への影響を分離する。",日本標準産業分類_2023年改定,https://www.e-stat.go.jp/classifications/terms/10
X01,FRONTIER_OVERLAY,気候適応・災害レジリエンス,pbl_overlay,"単一産業に閉じない気候変動、災害準備、復旧、事業継続の探索レンズ。","standardではfrontier候補の有力選択肢。JSICアンカーを併記する。",PBL独自補完,
X02,FRONTIER_OVERLAY,高齢化・ケア・労働力不足,pbl_overlay,"人手不足、技能保持、ケア負担、就労包摂にまたがる横断領域。","技術による単純代替だけでなく、人の能力・尊厳の変化を問う。",PBL独自補完,
X03,FRONTIER_OVERLAY,循環経済・資源パスポート,pbl_overlay,"再利用、修理、再製造、素材追跡、長寿命化をまたぐ横断領域。","所有移転・保守履歴・回収主体を条件生成する。",PBL独自補完,
X04,FRONTIER_OVERLAY,サイバーフィジカル信頼,pbl_overlay,"物理物体とデータの真正性、出所、権限、監査を接続する横断領域。","技術能力から証拠の生成・検証可能性への橋渡しを明示する。",PBL独自補完,
X05,FRONTIER_OVERLAY,遠隔・自律運用,pbl_overlay,"無人・遠隔・自律化された現場の判断、引継ぎ、例外対応を扱う横断領域。","平常時だけでなく異常時・通信断・権限移譲を含める。",PBL独自補完,
X06,FRONTIER_OVERLAY,分散型エネルギー・地域インフラ,pbl_overlay,"地域マイクログリッド、分散設備、共同運用をまたぐ横断領域。","複数組織の責任分界と便益配分を具体化する。",PBL独自補完,
X07,FRONTIER_OVERLAY,極限環境・海中・宇宙,pbl_overlay,"高温低温、深海、放射線、閉鎖空間、宇宙等の極限条件をまたぐ領域。","物理条件が技術仕様と結びつく候補に限定し、空想だけで出さない。",PBL独自補完,
X08,FRONTIER_OVERLAY,地域技能・文化資産の継承,pbl_overlay,"地域産業、職人技能、文化資産、産地の信用をまたぐ横断領域。","商品機能ではなく、技能・場所・来歴が持つ意味の変化を問う。",PBL独自補完,
