situation_id,situation_order_zero_based,name_ja,definition,source_basis,ai_detail_rule
A,0,農業・林業,農業および林業に属する事業活動,日本標準産業分類2023年改定,具体的な現場・業務・状態を1つ設定する
B,1,漁業,漁業に属する事業活動,日本標準産業分類2023年改定,遠い領域でも除外せず具体的な現場・業務・状態を1つ設定する
C,2,鉱業・採石業・砂利採取業,資源採取・採石等の事業活動,日本標準産業分類2023年改定,過酷環境や保全を含む具体的な現場・業務・状態を1つ設定する
D,3,建設業,建築・土木・設備工事等の事業活動,日本標準産業分類2023年改定,発注・施工・引渡しを含む具体的な現場・業務・状態を1つ設定する
E,4,製造業,各種製品の製造活動,日本標準産業分類2023年改定,既存用途の言換えに限定せず具体的な現場・業務・状態を1つ設定する
F,5,電気・ガス・熱供給・水道業,エネルギーおよびユーティリティ供給,日本標準産業分類2023年改定,安全・継続性・規制を含む具体的な現場・業務・状態を1つ設定する
G,6,情報通信業,通信・情報サービス・メディア等の事業活動,日本標準産業分類2023年改定,物理技術でも情報の信頼や権限に接続する現場・業務・状態を1つ設定する
H,7,運輸業・郵便業,人・物の輸送・保管・郵便等の事業活動,日本標準産業分類2023年改定,移動・引渡し・追跡・保全を含む具体的な現場・業務・状態を1つ設定する
I,8,卸売業・小売業,流通・販売・再販・中古取引等の事業活動,日本標準産業分類2023年改定,真贋・返品・再流通を含む具体的な現場・業務・状態を1つ設定する
J,9,金融業・保険業,融資・決済・保険・リスク引受等の事業活動,日本標準産業分類2023年改定,証拠・リスク情報・契約状態に接続する現場・業務・状態を1つ設定する
K,10,不動産業・物品賃貸業,不動産取引・管理・リース・レンタル等の事業活動,日本標準産業分類2023年改定,所有と利用の分離・返却・保守を含む現場・業務・状態を1つ設定する
L,11,学術研究・専門技術サービス業,研究・試験・設計・専門サービス等の事業活動,日本標準産業分類2023年改定,測定・証明・判断支援を含む具体的な現場・業務・状態を1つ設定する
M,12,宿泊業・飲食サービス業,宿泊・飲食の事業活動,日本標準産業分類2023年改定,衛生・繁忙・引継ぎ・設備保全を含む現場・業務・状態を1つ設定する
N,13,生活関連サービス業・娯楽業,生活サービス・娯楽・文化体験等の事業活動,日本標準産業分類2023年改定,BtoC用途だけで終わらせず提供組織の現場・業務・状態を1つ設定する
O,14,教育・学習支援業,学校・研修・学習支援等の事業活動,日本標準産業分類2023年改定,設置者・教員・認証者を含む具体的な現場・業務・状態を1つ設定する
P,15,医療・福祉,医療・介護・福祉の事業活動,日本標準産業分類2023年改定,医療機関・職種・管理者を区別した現場・業務・状態を1つ設定する
Q,16,複合サービス事業,複数事業を一体提供する協同組合・郵便局等の事業活動,日本標準産業分類2023年改定,地域ネットワークや共同利用を含む現場・業務・状態を1つ設定する
R,17,サービス業（他に分類されないもの）,廃棄物処理・整備・職業紹介・警備等の事業活動,日本標準産業分類2023年改定,詳細業種を必ず1つ選び具体的な現場・業務・状態を設定する
S,18,公務,国・自治体等の行政活動,日本標準産業分類2023年改定,調達・運用・監督・住民影響を区別した現場・業務・状態を1つ設定する

