candidate_id,patent_id,patent_title,stakeholder_id,stakeholder_name,situation_id,situation_name,context_id,context_name
OTB094-A-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,A,農業・林業,C1,証拠・信頼
OTB094-A-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,A,農業・林業,C2,可視化・判断
OTB094-A-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,A,農業・林業,C3,人・能力
OTB094-A-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,A,農業・林業,C4,継続・適応
OTB094-A-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,A,農業・林業,C5,関係・共創
OTB094-A-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,A,農業・林業,C6,社会・資源・継承
OTB094-A-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,A,農業・林業,C1,証拠・信頼
OTB094-A-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,A,農業・林業,C2,可視化・判断
OTB094-A-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,A,農業・林業,C3,人・能力
OTB094-A-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,A,農業・林業,C4,継続・適応
OTB094-A-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,A,農業・林業,C5,関係・共創
OTB094-A-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,A,農業・林業,C6,社会・資源・継承
OTB094-A-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,A,農業・林業,C1,証拠・信頼
OTB094-A-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,A,農業・林業,C2,可視化・判断
OTB094-A-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,A,農業・林業,C3,人・能力
