lens_id,family_id,family_name,name_ja,meaning_shift_from,meaning_shift_to,question_prompt,source_provenance,framework_relation
L01,F1,証拠と信頼,来歴・真正性,"匿名・交換可能・自己申告","個体・起源・履歴が検証可能","この技術により、何の来歴や固有性が新たに価値ある証拠になるか。","PBL事例＋BtoB関係価値からの独自統合","NS FORCEの価値観/文化をBtoB取引証拠へ再解釈"
L02,F1,証拠と信頼,可視化・共通言語,"見えない・専門家だけが読める","関係者が同じ状態を理解できる","従来は誰に見えなかった状態が、誰同士の共通言語になるか。","NS FORCE＋PBL議論からの独自統合","技術/知識カテゴリを組織間理解へ展開"
L03,F1,証拠と信頼,保証・確からしさ,"事後確認・主張への依存","継続的・自己証明的な保証","検査や信用が、後追い確認から継続保証へどう変わるか。","BtoB価値研究＋PBL事例からの独自統合","関係便益とvalue-in-useを証拠設計へ接続"
L04,F2,人と業務,判断の分散・自律性,"熟練者・中央・記憶への依存","現場・非専門家が自信を持って判断","誰の判断権がどこへ移り、どの依存が減るか。","PBL議事録の意味表現＋S-D Logicからの独自統合","価値は受益者が文脈内で決めるという考えを業務判断へ適用"
L05,F2,人と業務,能力拡張・尊厳,"負担・排除・単純代替","安全で包摂的な能力拡張","人を置き換えるのでなく、誰のどの能力・尊厳を高めるか。","NS FORCEウェルビーイング＋PBL独自設計","健康/感情をBtoBの就労・包摂へ再解釈"
L06,F2,人と業務,継続性・レジリエンス,"故障後の反応・単一点依存","劣化を許容しながら継続・回復","異常・災害・引継ぎ時に、何が止まらずどう回復できるか。","NS FORCE未来/日常シーン＋PBL独自設計","イベント文脈を事業継続へ再解釈"
L07,F3,関係とネットワーク,協調・相互運用,"部門・企業ごとの分断と手渡し","状態共有と滑らかな協調","どの組織間の引継ぎや責任分界が共通状態によって変わるか。","S-D Logic＋BtoB solution processからの独自統合","資源統合・関係プロセスを候補生成レンズ化"
L08,F3,関係とネットワーク,関係・共創,"一回限りの売買・受発注","長期的な相互学習・共同価値形成","製品販売後に、どの関係が継続的な共創へ変わるか。","S-D Logic＋OTBミッションからの独自統合","価値共創をBtoB関係変化として操作化"
L09,F4,戦略と社会,資源循環・スチュワードシップ,"使い切り・廃棄・責任の断絶","保全・再利用・循環・責任追跡","技術が所有移転後の保全、再利用、回収責任をどう変えるか。","NS FORCEサステナビリティ＋PBL独自設計","環境価値をサプライチェーン行動へ接続"
L10,F4,戦略と社会,正当性・説明責任,"遵守コスト・説明不能・不透明","監査可能・説明可能な社会的許容","誰に対する説明責任が、負担から信頼獲得手段へ変わるか。","制度的S-D Logic＋PBL独自設計","制度・規範を価値共創の条件として扱う"
L11,F4,戦略と社会,適応性・将来対応,"固定最適・一度きりの設計","学習・再構成できる能力","変化する規則、需要、環境に対し、何が作り直さず適応できるか。","NS FORCE未来/技術＋BtoB capability視点からの独自統合","未来像を組織能力へ再解釈"
L12,F4,戦略と社会,アイデンティティ・地域・継承,"コモディティ・無名の成果","技能・場所・歴史を運ぶ媒体","技術が産地、技能、組織の記憶をどのように価値として運ぶか。","PBL電磁指紋事例＋NS FORCE文化からの独自統合","文化/体験をBtoBの信用・継承へ変換"
